Player Name,Rank,Position,Rookie,Status,Price,Owner
Jahmyr Gibbs,1,RB,No,Owned,$42,Tyler Bulger
Ja'Marr Chase,2,WR,No,Franchise Tagged,$74,Scott Moran
Bijan Robinson,3,RB,No,Franchise Tagged,$100,Tim Meyers
Puka Nacua,4,WR,No,Owned,$1,Nick Scott
Jaxon Smith-Njigba,5,WR,No,Owned,$32,Tyler Bulger
Amon-Ra St. Brown,6,WR,No,Franchise Tagged,$74,Nick Scott
Jonathan Taylor,7,RB,No,Owned,$77,Zach Moore
CeeDee Lamb,8,WR,No,Free Agent,,
James Cook,9,RB,No,Owned,$19,Nick Meyer
Justin Jefferson,10,WR,No,Owned,$13,Brad Wandell
Christian McCaffrey,11,RB,No,Franchise Tagged,$110,Brent Alexander
Drake London,12,WR,No,Free Agent,,
A.J. Brown,13,WR,No,Free Agent,,
Derrick Henry,14,RB,No,Free Agent,,
Saquon Barkley,15,RB,No,Free Agent,,
Ashton Jeanty,16,RB,No,Owned,$83,Nick Meyer
Nico Collins,17,WR,No,Free Agent,,
Brock Bowers,18,TE,No,Owned,$20,Corey Whitehead & Rob Green
George Pickens,19,WR,No,Owned,$15,Zach Moore
Chase Brown,20,RB,No,Owned,$51,Ryan Hossick
Trey McBride,21,TE,No,Owned,$3,Josh Sacks
Omarion Hampton,22,RB,No,Owned,$49,Ryan Hossick
Josh Allen,23,QB,No,Owned,$39,Johnny Goodwin
Kenneth Walker,24,RB,No,Owned,$29,Johnny Goodwin
De'Von Achane,25,RB,No,Free Agent,,
Malik Nabers,26,WR,No,Owned,$56,Nick Scott
Chris Olave,27,WR,No,Owned,$24,Nick Scott
Rashee Rice,28,WR,No,Owned,$20,Johnny Goodwin
Lamar Jackson,29,QB,No,Free Agent,,
Kyren Williams,30,RB,No,Free Agent,,
Tee Higgins,31,WR,No,Free Agent,,
Zay Flowers,32,WR,No,Owned,$17,Brad Wandell
DeVonta Smith,33,WR,No,Free Agent,,
Drake Maye,34,QB,No,Owned,$2,Nick Scott
Javonte Williams,35,RB,No,Free Agent,,
Josh Jacobs,36,RB,No,Free Agent,,
Tetairoa McMillan,37,WR,No,Owned,$36,Nick Scott
Emeka Egbuka,38,WR,No,Owned,$35,Nick Meyer
Colston Loveland,39,TE,No,Owned,$12,Brad Wandell
Breece Hall,40,RB,No,Free Agent,,
Joe Burrow,41,QB,No,Free Agent,,
Ladd McConkey,42,WR,No,Owned,$18,Corey Whitehead & Rob Green
Jaylen Waddle,43,WR,No,Free Agent,,
Jeremiyah Love,44,RB,Yes,Free Agent,,
Jameson Williams,45,WR,No,Owned,$35,Zach Moore
Davante Adams,46,WR,No,Free Agent,,
Terry McLaurin,47,WR,No,Free Agent,,
Travis Etienne,48,RB,No,Free Agent,,
Christian Watson,49,WR,No,Owned,$1,Ryan Hossick
Garrett Wilson,50,WR,No,Owned,$19,Tim Meyers
D'Andre Swift,51,RB,No,Free Agent,,
Jayden Daniels,52,QB,No,Owned,$33,Scott Moran
Cam Skattebo,53,RB,No,Owned,$8,Tim Meyers
Quinshon Judkins,54,RB,No,Owned,$24,Tyler Bulger
Rome Odunze,55,WR,No,Owned,$41,Josh Sacks
David Montgomery,56,RB,No,Free Agent,,
Jalen Hurts,57,QB,No,Owned,$24,Tyler Bulger
Luther Burden,58,WR,No,Owned,$10,Tyler Bulger
Bucky Irving,59,RB,No,Owned,$10,Scott Moran
Mike Evans,60,WR,No,Free Agent,,
Tucker Kraft,61,TE,No,Owned,$6,Tim Meyers
DJ Moore,62,WR,No,Free Agent,,
Tyler Warren,63,TE,No,Owned,$14,Tim Meyers
Bhayshul Tuten,64,RB,No,Owned,$13,Scott Moran
TreVeyon Henderson,65,RB,No,Owned,$50,Zach Moore
Caleb Williams,66,QB,No,Owned,$30,Brad Wandell
Jadarian Price,67,RB,Yes,Free Agent,,
Justin Herbert,68,QB,No,Free Agent,,
Parker Washington,69,WR,No,Owned,$5,Tyler Bulger
Marvin Harrison,70,WR,No,Owned,$55,Zach Moore
Brian Thomas,71,WR,No,Owned,$19,Nick Meyer
Trevor Lawrence,72,QB,No,Free Agent,,
Jaylen Warren,73,RB,No,Free Agent,,
Rhamondre Stevenson,74,RB,No,Free Agent,,
Tony Pollard,75,RB,No,Free Agent,,
Carnell Tate,76,WR,Yes,Free Agent,,
Sam LaPorta,77,TE,No,Free Agent,,
Dak Prescott,78,QB,No,Free Agent,,
DK Metcalf,79,WR,No,Free Agent,,
Rico Dowdle,80,RB,No,Free Agent,,
Courtland Sutton,81,WR,No,Free Agent,,
J.K. Dobbins,82,RB,No,Free Agent,,
Blake Corum,83,RB,No,Free Agent,,
Alec Pierce,84,WR,No,Owned,$2,Johnny Goodwin
Harold Fannin,85,TE,No,Owned,$3,Scott Moran
Kyle Pitts,86,TE,No,Free Agent,,
Quentin Johnston,87,WR,No,Owned,$33,Johnny Goodwin
Chris Godwin,88,WR,No,Free Agent,,
Jonathon Brooks,89,RB,No,Owned,$2,Nick Scott
Jacory Croskey-Merritt,90,RB,No,Owned,$15,Johnny Goodwin
Brock Purdy,91,QB,No,Owned,$7,Corey Whitehead & Rob Green
George Kittle,92,TE,No,Free Agent,,
Jaxson Dart,93,QB,No,Owned,$5,Zach Moore
Chuba Hubbard,94,RB,No,Free Agent,,
Jordan Addison,95,WR,No,Owned,$33,Nick Meyer
Kyle Monangai,96,RB,No,Free Agent,,
Jordan Mason,97,RB,No,Owned,$1,Scott Moran
Patrick Mahomes,98,QB,No,Free Agent,,
Bo Nix,99,QB,No,Owned,$4,Nick Meyer
Michael Wilson,100,WR,No,Owned,$5,Ryan Hossick
Dalton Kincaid,101,TE,No,Free Agent,,
Matthew Stafford,102,QB,No,Free Agent,,
Jared Goff,103,QB,No,Owned,$5,Scott Moran
Jayden Reed,104,WR,No,Owned,$8,Josh Sacks
Makai Lemon,105,WR,Yes,Free Agent,,
RJ Harvey,106,RB,No,Owned,$33,Nick Scott
Travis Kelce,107,TE,No,Free Agent,,
Michael Pittman,108,WR,No,Owned,$10,Scott Moran
Rachaad White,109,RB,No,Free Agent,,
Kyler Murray,110,QB,No,Free Agent,,
Dallas Goedert,111,TE,No,Free Agent,,
Isaiah Likely,112,TE,No,Owned,$3,Zach Moore
Mark Andrews,113,TE,No,Owned,$5,Scott Moran
Jakobi Meyers,114,WR,No,Free Agent,,
Kenny Gainwell,115,RB,No,Owned,$5,Brent Alexander
Chris Rodriguez,116,RB,No,Owned,$3,Josh Sacks
Josh Downs,117,WR,No,Owned,$6,Nick Meyer
Aaron Jones,118,RB,No,Free Agent,,
Xavier Worthy,119,WR,No,Free Agent,,
Baker Mayfield,120,QB,No,Free Agent,,
Jordan Love,121,QB,No,Owned,$5,Tim Meyers
Wan'Dale Robinson,122,WR,No,Owned,$8,Zach Moore
Tyler Shough,123,QB,No,Owned,$5,Corey Whitehead & Rob Green
Stefon Diggs,124,WR,No,Free Agent,,
Matthew Golden,125,WR,No,Owned,$37,Brad Wandell
Jayden Higgins,125,WR,No,Owned,$21,Nick Meyer
Jordyn Tyson,126,WR,Yes,Free Agent,,
Jake Ferguson,127,TE,No,Free Agent,,
Tyler Allgeier,128,RB,No,Free Agent,,
Romeo Doubs,129,WR,No,Owned,$3,Nick Meyer
KC Concepcion,130,WR,Yes,Free Agent,,
Woody Marks,131,RB,No,Owned,$7,Brad Wandell
Zach Charbonnet,132,RB,No,Free Agent,,
Tyrone Tracy,133,RB,No,Owned,$4,Johnny Goodwin
Malik Willis,134,QB,No,Free Agent,,
Jalen Coker,135,WR,No,Owned,$1,Scott Moran
Rashid Shaheed,136,WR,No,Free Agent,,
Khalil Shakir,137,WR,No,Owned,$10,Johnny Goodwin
Sam Darnold,138,QB,No,Free Agent,,
Juwan Johnson,139,TE,No,Free Agent,,
Tank Bigsby,140,RB,No,Free Agent,,
Keaton Mitchell,141,RB,No,Owned,$7,Scott Moran
C.J. Stroud,142,QB,No,Owned,$12,Ryan Hossick
