"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","0"
"2",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+1"
"3",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-1"
"4",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+2"
"5",2,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+3"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+5"
"7",2,"Jonathan Taylor",IND,"RB3","13","4 out of 5","3 out of 5","4 out of 5 stars","-2"
"8",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+5"
"9",2,"James Cook III",BUF,"RB4","7","5 out of 5","2 out of 5","2 out of 5 stars","-2"
"10",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","+6"
"11",2,"Christian McCaffrey",SF,"RB5","8","4 out of 5","4 out of 5","2 out of 5 stars","-7"
"12",3,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+8"
"13",3,"A.J. Brown",NE,"WR8","11","","","2 out of 5 stars","+15"
"14",3,"Derrick Henry",BAL,"RB6","13","","","3 out of 5 stars","0"
"15",3,"Saquon Barkley",PHI,"RB7","10","","","4 out of 5 stars","0"
"16",3,"Ashton Jeanty",LV,"RB8","13","","","2 out of 5 stars","-6"
"17",3,"Nico Collins",HOU,"WR9","8","","","3 out of 5 stars","+10"
"18",3,"Brock Bowers",LV,"TE1","13","5 out of 5","2 out of 5","3 out of 5 stars","+6"
"19",3,"George Pickens",DAL,"WR10","14","","","2 out of 5 stars","+7"
"20",3,"Chase Brown",CIN,"RB9","6","","","2 out of 5 stars","-3"
"21",4,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"22",4,"Omarion Hampton",LAC,"RB10","7","","","3 out of 5 stars","-10"
"23",4,"Josh Allen",BUF,"QB1","7","5 out of 5","2 out of 5","3 out of 5 stars","-5"
"24",4,"Kenneth Walker III",KC,"RB11","5","","","3 out of 5 stars","-5"
"25",4,"De'Von Achane",MIA,"RB12","6","","","3 out of 5 stars","-16"
"26",4,"Malik Nabers",NYG,"WR11","8","","","4 out of 5 stars","+6"
"",4
"27",4,"Chris Olave",NO,"WR12","8","","","3 out of 5 stars","+2"
"28",4,"Rashee Rice",KC,"WR13","5","","","2 out of 5 stars","+6"
"29",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","3 out of 5","3 out of 5 stars","+4"
"30",4,"Kyren Williams",LAR,"RB13","11","","","5 out of 5 stars","-8"
"31",4,"Tee Higgins",CIN,"WR14","6","","","4 out of 5 stars","+10"
"32",4,"Zay Flowers",BAL,"WR15","13","","","4 out of 5 stars","+10"
"33",4,"DeVonta Smith",PHI,"WR16","10","","","4 out of 5 stars","+13"
"34",4,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+20"
"35",4,"Javonte Williams",DAL,"RB14","14","","","4 out of 5 stars","-5"
"36",4,"Josh Jacobs",GB,"RB15","11","","","4 out of 5 stars","-11"
"37",5,"Tetairoa McMillan",CAR,"WR17","5","","","2 out of 5 stars","+2"
"38",5,"Emeka Egbuka",TB,"WR18","10","","","4 out of 5 stars","+7"
"39",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+10"
"40",5,"Breece Hall",NYJ,"RB16","13","","","3 out of 5 stars","-9"
"41",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+15"
"42",5,"Ladd McConkey",LAC,"WR19","7","","","2 out of 5 stars","+6"
"43",5,"Jaylen Waddle",DEN,"WR20","10","","","2 out of 5 stars","+7"
"44",5,"Jeremiyah Love",ARI,"RB17","14","","","2 out of 5 stars","-21"
"45",5,"Jameson Williams",DET,"WR21","6","","","4 out of 5 stars","+12"
"46",5,"Davante Adams",LAR,"WR22","11","","","1 out of 5 stars","+9"
"47",5,"Terry McLaurin",WAS,"WR23","7","","","2 out of 5 stars","+12"
"48",5,"Travis Etienne Jr.",NO,"RB18","8","","","3 out of 5 stars","-12"
"49",5,"Christian Watson",GB,"WR24","11","","","5 out of 5 stars","+18"
"50",6,"Garrett Wilson",NYJ,"WR25","13","","","4 out of 5 stars","-10"
"51",6,"D'Andre Swift",CHI,"RB19","10","","","2 out of 5 stars","+2"
"52",6,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+11"
"53",6,"Cam Skattebo",NYG,"RB20","8","","","4 out of 5 stars","-16"
"54",6,"Quinshon Judkins",CLE,"RB21","11","","","3 out of 5 stars","-16"
"55",6,"Rome Odunze",CHI,"WR26","10","","","3 out of 5 stars","+11"
"56",6,"David Montgomery",HOU,"RB22","8","","","4 out of 5 stars","-5"
"57",6,"Jalen Hurts",PHI,"QB6","10","","","5 out of 5 stars","+13"
"58",6,"Luther Burden III",CHI,"WR27","10","","","3 out of 5 stars","-15"
"59",6,"Bucky Irving",TB,"RB23","10","","","2 out of 5 stars","-24"
"60",6,"Mike Evans",SF,"WR28","8","","","2 out of 5 stars","+1"
"61",6,"Tucker Kraft",GB,"TE4","11","5 out of 5","2 out of 5","2 out of 5 stars","+12"
"62",6,"DJ Moore",BUF,"WR29","7","","","4 out of 5 stars","-10"
"63",6,"Tyler Warren",IND,"TE5","13","4 out of 5","2 out of 5","3 out of 5 stars","-5"
"64",6,"Bhayshul Tuten",JAC,"RB24","7","","","4 out of 5 stars","-17"
"65",6,"TreVeyon Henderson",NE,"RB25","11","","","2 out of 5 stars","-21"
"66",6,"Caleb Williams",CHI,"QB7","10","","","3 out of 5 stars","+20"
"67",6,"Jadarian Price",SEA,"RB26","11","","","4 out of 5 stars","+2"
"68",6,"Justin Herbert",LAC,"QB8","7","","","2 out of 5 stars","+20"
"69",6,"Parker Washington",JAC,"WR30","7","","","4 out of 5 stars","+5"
"70",7,"Marvin Harrison Jr.",ARI,"WR31","14","","","2 out of 5 stars","+14"
"71",7,"Brian Thomas Jr.",JAC,"WR32","7","","","4 out of 5 stars","+6"
"72",7,"Trevor Lawrence",JAC,"QB9","7","","","4 out of 5 stars","+17"
"73",7,"Jaylen Warren",PIT,"RB27","9","","","2 out of 5 stars","-13"
"74",7,"Rhamondre Stevenson",NE,"RB28","11","","","2 out of 5 stars","-9"
"75",7,"Tony Pollard",TEN,"RB29","9","","","3 out of 5 stars","-3"
"76",7,"Carnell Tate",TEN,"WR33","9","","","3 out of 5 stars","-5"
"77",7,"Sam LaPorta",DET,"TE6","6","","","3 out of 5 stars","+10"
"78",7,"Dak Prescott",DAL,"QB10","14","","","2 out of 5 stars","+13"
"79",7,"DK Metcalf",PIT,"WR34","9","","","3 out of 5 stars","+6"
"80",7,"Rico Dowdle",PIT,"RB30","9","","","2 out of 5 stars","-12"
"81",7,"Courtland Sutton",DEN,"WR35","10","","","2 out of 5 stars","-2"
"82",7,"J.K. Dobbins",DEN,"RB31","10","","","2 out of 5 stars","-1"
"83",7,"Blake Corum",LAR,"RB32","11","","","5 out of 5 stars","0"
"84",7,"Alec Pierce",IND,"WR36","13","","","4 out of 5 stars","+14"
"85",7,"Harold Fannin Jr.",CLE,"TE7","11","","","3 out of 5 stars","-21"
"86",7,"Kyle Pitts Sr.",ATL,"TE8","11","","","3 out of 5 stars","-4"
"87",7,"Quentin Johnston",LAC,"WR37","7","","","2 out of 5 stars","+24"
"88",7,"Chris Godwin Jr.",TB,"WR38","10","","","4 out of 5 stars","+2"
"89",7,"Jonathon Brooks",CAR,"RB33","5","","","1 out of 5 stars","+35"
"90",7,"Jacory Croskey-Merritt",WAS,"RB34","7","","","4 out of 5 stars","+7"
"",7
"91",7,"Brock Purdy",SF,"QB11","8","","","1 out of 5 stars","+21"
"92",7,"George Kittle",SF,"TE9","8","","","3 out of 5 stars","+11"
"93",7,"Jaxson Dart",NYG,"QB12","8","","","4 out of 5 stars","-1"
"94",7,"Chuba Hubbard",CAR,"RB35","5","","","1 out of 5 stars","-16"
"95",7,"Jordan Addison",MIN,"WR39","6","","","5 out of 5 stars","+6"
"96",7,"Kyle Monangai",CHI,"RB36","10","","","2 out of 5 stars","-21"
"97",8,"Jordan Mason",MIN,"RB37","6","","","4 out of 5 stars","-1"
"98",8,"Patrick Mahomes II",KC,"QB13","5","","","2 out of 5 stars","+7"
"99",8,"Bo Nix",DEN,"QB14","10","","","3 out of 5 stars","+18"
"100",8,"Michael Wilson",ARI,"WR40","14","","","2 out of 5 stars","-24"
"101",8,"Dalton Kincaid",BUF,"TE10","7","","","3 out of 5 stars","-1"
"102",8,"Matthew Stafford",LAR,"QB15","11","","","3 out of 5 stars","+17"
"103",8,"Jared Goff",DET,"QB16","6","","","5 out of 5 stars","+23"
"104",8,"Jayden Reed",GB,"WR41","11","","","5 out of 5 stars","+19"
"105",8,"Makai Lemon",PHI,"WR42","10","","","4 out of 5 stars","+94"
"106",8,"RJ Harvey",DEN,"RB38","10","","","2 out of 5 stars","-44"
"107",8,"Travis Kelce",KC,"TE11","5","","","4 out of 5 stars","-5"
"108",8,"Michael Pittman Jr.",PIT,"WR43","9","","","3 out of 5 stars","-2"
"109",8,"Rachaad White",WAS,"RB39","7","","","4 out of 5 stars","+9"
"110",8,"Kyler Murray",MIN,"QB17","6","","","5 out of 5 stars","+42"
"111",8,"Dallas Goedert",PHI,"TE12","10","","","4 out of 5 stars","+5"
"112",8,"Isaiah Likely",NYG,"TE13","8","","","3 out of 5 stars","-8"
"113",8,"Mark Andrews",BAL,"TE14","13","","","4 out of 5 stars","-5"
"114",8,"Jakobi Meyers",JAC,"WR44","7","","","4 out of 5 stars","-19"
"115",8,"Kenny Gainwell",TB,"RB40","10","","","2 out of 5 stars","-21"
"116",8,"Chris Rodriguez Jr.",JAC,"RB41","7","","","4 out of 5 stars","+29"
"117",8,"Josh Downs",IND,"WR45","13","","","4 out of 5 stars","-7"
"118",8,"Aaron Jones Sr.",MIN,"RB42","6","","","4 out of 5 stars","-19"
"119",8,"Xavier Worthy",KC,"WR46","5","","","2 out of 5 stars","+12"
"120",8,"Baker Mayfield",TB,"QB18","10","","","2 out of 5 stars","+20"
"121",8,"Jordan Love",GB,"QB19","11","","","4 out of 5 stars","+17"
"122",8,"Wan'Dale Robinson",TEN,"WR47","9","","","3 out of 5 stars","-29"
"123",8,"Tyler Shough",NO,"QB20","8","","","3 out of 5 stars","+23"
"124",8,"Stefon Diggs",WAS,"WR48","7","","","2 out of 5 stars","-2"
"125",9,"Matthew Golden",GB,"WR49","11","","","5 out of 5 stars","+39"
"126",9,"Jordyn Tyson",NO,"WR50","8","","","3 out of 5 stars","-46"
"127",9,"Jake Ferguson",DAL,"TE15","14","","","2 out of 5 stars","-20"
"128",9,"Tyler Allgeier",ARI,"RB43","14","","","2 out of 5 stars","-19"
"129",9,"Romeo Doubs",NE,"WR51","11","","","2 out of 5 stars","-2"
"130",9,"KC Concepcion",CLE,"WR52","11","","","3 out of 5 stars","+7"
"131",9,"Woody Marks",HOU,"RB44","8","","","4 out of 5 stars","-18"
"132",9,"Zach Charbonnet",SEA,"RB45","11","","","4 out of 5 stars","-18"
"133",9,"Tyrone Tracy Jr.",NYG,"RB46","8","","","4 out of 5 stars","-12"
"134",9,"Malik Willis",MIA,"QB21","6","","","3 out of 5 stars","+17"
"135",9,"Jalen Coker",CAR,"WR53","5","","","2 out of 5 stars","+8"
"136",9,"Rashid Shaheed",SEA,"WR54","11","","","3 out of 5 stars","+24"
"137",9,"Khalil Shakir",BUF,"WR55","7","","","4 out of 5 stars","-2"
"138",9,"Sam Darnold",SEA,"QB22","11","","","4 out of 5 stars","+31"
"139",9,"Juwan Johnson",NO,"TE16","8","","","2 out of 5 stars","-19"
"140",9,"Tank Bigsby",PHI,"RB47","10","","","4 out of 5 stars","+18"
"141",9,"Keaton Mitchell",LAC,"RB48","7","","","3 out of 5 stars","+13"
"142",9,"C.J. Stroud",HOU,"QB23","8","","","4 out of 5 stars","+28"
"143",9,"Isiah Pacheco",DET,"RB49","6","","","5 out of 5 stars","+14"
"144",9,"Jonah Coleman",DEN,"RB50","10","","","2 out of 5 stars","-11"
"145",9,"Deebo Samuel Sr.",SF,"WR56","8","","","2 out of 5 stars","-4"
"146",9,"Hunter Henry",NE,"TE17","11","","","4 out of 5 stars","-21"
"147",9,"De'Zhaun Stribling",SF,"WR57","8","","","2 out of 5 stars","+48"
"148",9,"Alvin Kamara",NO,"RB51","8","","","3 out of 5 stars","-20"
"149",9,"Brenton Strange",JAC,"TE18","7","","","3 out of 5 stars","-17"
"150",9,"Tyjae Spears",TEN,"RB52","9","","","3 out of 5 stars","-20"
"151",9,"Brian Robinson Jr.",ATL,"RB53","11","","","2 out of 5 stars","-36"
"152",9,"Daniel Jones",IND,"QB24","13","","","4 out of 5 stars","+45"
"153",9,"Denzel Boston",CLE,"WR58","11","","","3 out of 5 stars","+15"
"154",9,"Dylan Sampson",CLE,"RB54","11","","","3 out of 5 stars","-4"
"155",9,"Cam Ward",TEN,"QB25","9","","","3 out of 5 stars","+34"
"156",9,"Chig Okonkwo",WAS,"TE19","7","","","1 out of 5 stars","-7"
"157",10,"Braelon Allen",NYJ,"RB55","13","","","3 out of 5 stars","+8"
"158",10,"Houston Texans",HOU,"DST1","8","","","2 out of 5 stars","-22"
"159",10,"Oronde Gadsden II",LAC,"TE20","7","","","4 out of 5 stars","-25"
"160",10,"Jauan Jennings",MIN,"WR59","6","","","5 out of 5 stars","-7"
"161",10,"Adonai Mitchell",NYJ,"WR60","13","","","4 out of 5 stars","+33"
"162",10,"Jalen McMillan",TB,"WR61","10","","","4 out of 5 stars","+22"
"163",10,"Jerry Jeudy",CLE,"WR62","11","","","3 out of 5 stars","+8"
"164",10,"Tre Tucker",LV,"WR63","13","","","2 out of 5 stars","+50"
"165",10,"Bryce Young",CAR,"QB26","5","","","2 out of 5 stars","+40"
"166",10,"Denver Broncos",DEN,"DST2","10","","","4 out of 5 stars","-11"
"167",10,"Los Angeles Rams",LAR,"DST3","11","","","2 out of 5 stars","-28"
"168",10,"Seattle Seahawks",SEA,"DST4","11","","","2 out of 5 stars","-20"
"169",10,"Travis Hunter",JAC,"WR64","7","","","4 out of 5 stars","+24"
"170",10,"Omar Cooper Jr.",NYJ,"WR65","13","","","4 out of 5 stars","+2"
"171",10,"Tre' Harris",LAC,"WR66","7","","","2 out of 5 stars","+32"
"172",10,"Sean Tucker",TB,"RB56","10","","","2 out of 5 stars","+8"
"173",10,"MarShawn Lloyd",GB,"RB57","11","","","4 out of 5 stars","+48"
"174",10,"Emmett Johnson",KC,"RB58","5","","","3 out of 5 stars","-8"
"175",10,"Terrance Ferguson",LAR,"TE21","11","","","4 out of 5 stars","+12"
"176",10,"Philadelphia Eagles",PHI,"DST5","10","","","0 out of 5 stars","-14"
"177",10,"Ray Davis",BUF,"RB59","7","","","2 out of 5 stars","+21"
"178",10,"Jalen Nailor",LV,"WR67","13","","","2 out of 5 stars","+10"
"179",10,"AJ Barner",SEA,"TE22","11","","","3 out of 5 stars","-2"
"180",10,"Mike Washington Jr.",LV,"RB60","13","","","2 out of 5 stars","-17"
"181",10,"Kimani Vidal",LAC,"RB61","7","","","3 out of 5 stars","0"
"182",10,"Kayshon Boutte",NE,"WR68","11","","","2 out of 5 stars","-7"
"183",10,"Nicholas Singleton",TEN,"RB62","9","","","3 out of 5 stars","+9"
"184",10,"New England Patriots",NE,"DST6","11","","","3 out of 5 stars","-11"
"185",10,"Minnesota Vikings",MIN,"DST7","6","","","1 out of 5 stars","-6"
"186",10,"Brandon Aubrey",DAL,"K1","14","","","2 out of 5 stars","-57"
"187",10,"Pittsburgh Steelers",PIT,"DST8","9","","","5 out of 5 stars","+25"
"188",10,"Emanuel Wilson",SEA,"RB63","11","","","4 out of 5 stars","+44"
"189",10,"Ryan Flournoy",DAL,"WR69","14","","","2 out of 5 stars","+64"
"190",10,"Jacksonville Jaguars",JAC,"DST9","7","","","3 out of 5 stars","+11"
"191",10,"Dontayvion Wicks",PHI,"WR70","10","","","4 out of 5 stars","+51"
"192",10,"Calvin Ridley",TEN,"WR71","9","","","3 out of 5 stars","-14"
"193",10,"Dalton Schultz",HOU,"TE23","8","","","4 out of 5 stars","-49"
"194",10,"Kenyon Sadiq",NYJ,"TE24","13","","","4 out of 5 stars","-52"
"195",10,"Kaytron Allen",WAS,"RB64","7","","","4 out of 5 stars","+9"
"196",10,"Los Angeles Chargers",LAC,"DST10","7","","","3 out of 5 stars","+28"
"197",10,"Ka'imi Fairbairn",HOU,"K2","8","","","2 out of 5 stars","-23"
"198",10,"Cameron Dicker",LAC,"K3","7","","","2 out of 5 stars","-37"
"199",10,"Jacoby Brissett",ARI,"QB27","14","","","2 out of 5 stars","+14"
"200",10,"James Conner",ARI,"RB65","14","","","2 out of 5 stars","-41"
"201",11,"Cam Little",JAC,"K4","7","","","4 out of 5 stars","-25"
"202",11,"Rashod Bateman",BAL,"WR72","13","","","4 out of 5 stars","+94"
"203",11,"Isaac TeSlaa",DET,"WR73","6","","","4 out of 5 stars","+28"
"204",11,"Pat Bryant",DEN,"WR74","10","","","2 out of 5 stars","+29"
"205",11,"Malik Washington",MIA,"WR75","6","","","3 out of 5 stars","+30"
"206",11,"Baltimore Ravens",BAL,"DST11","13","","","5 out of 5 stars","-15"
"207",11,"Jason Myers",SEA,"K5","11","","","4 out of 5 stars","-40"
"208",11,"Jaydon Blue",DAL,"RB66","14","","","4 out of 5 stars","-2"
"209",11,"Tank Dell",HOU,"WR76","8","","","3 out of 5 stars","-7"
"210",11,"T.J. Hockenson",MIN,"TE25","6","","","4 out of 5 stars","-63"
"211",11,"Green Bay Packers",GB,"DST12","11","","","2 out of 5 stars","+25"
"212",11,"Kansas City Chiefs",KC,"DST13","5","","","3 out of 5 stars","+51"
"213",11,"Troy Franklin",DEN,"WR77","10","","","2 out of 5 stars","+43"
"214",11,"Jaylin Noel",HOU,"WR78","8","","","3 out of 5 stars","+64"
"215",11,"Eddy Pineiro",SF,"K6","8","","","5 out of 5 stars","+8"
"216",11,"Tyler Loop",BAL,"K7","13","","","3 out of 5 stars","-34"
"217",11,"Darnell Mooney",NYG,"WR79","8","","","4 out of 5 stars","+52"
"218",11,"Pat Freiermuth",PIT,"TE26","9","","","2 out of 5 stars","+44"
"219",11,"Jaylen Wright",MIA,"RB67","6","","","3 out of 5 stars","+3"
"220",11,"Gunnar Helm",TEN,"TE27","9","","","3 out of 5 stars","-30"
"221",11,"Cairo Santos",CHI,"K8","10","","","0 out of 5 stars","+31"
"222",11,"Evan McPherson",CIN,"K9","6","","","2 out of 5 stars","+60"
"223",11,"Antonio Williams",WAS,"WR80","7","","","2 out of 5 stars","-3"
"224",11,"Jake Bates",DET,"K10","6","","","5 out of 5 stars","-17"
